,,CRESTAR,130,5,0,0,0,0
+L HAG9/40FR CH,G9-40W FR - OSRAM (65940AM),,48,11,0,0,10,0
+L HAG9/40FR OE,G9/40W FR - OES (5cm),,50,-11,0,0.93,7,2.5
+L HAG9/60CL,G9-60W CL (66660KL) -OSRAM,NME,0,0,0,1.2,9,0
+L HAG9/60CL OE,G9-60W CLEAR - OES (5cm),,0,37,0,0.6,9,0
+L HAG9/60CL OSRAM,G9-60W CLEAR - OSRAM,WAH SENG,0,0,0,0,0,0
+L HAG9/60FR OE,G9-60W FR - OES (5cm),,50,1,0,3.5,9,0
+L HAG9/75CL OS,G9-75W CLEAR - OSRAM,EXPORT,0,0,0,7,12,0
+L HAGU10/11W WW,GU 10-11W W/W - MEGAMAN,KIM SIAH,0,0,0,0,35,0
+L HAGU10/35 OES,GU 10-35W - OES,,0,0,0,0,0,0
+L HAGU10/35W OSR AM,GU 10-35W (64820 FL) - OSRAM,EXPORT,-6,-4,0,0,18,0
+L HAGU10/50,GU 10-50W (64824) - OSRAM,EXPORT,0,0,0,0,18,0
+L HAGU10/50 OE,GU 10-50W - OES,,0,15,0,1.11,8,3
+L HAGU10/50 PH,925644344203 GU 10 50W 36° HALOGEN 230V - PHILIPS,EXPORT,0,0,0,9,15,0
+L HAGU10/50 SY,GU 10-50W - SYLIVIA,,0,0,0,0,16,0
+L HAGU10/7W CW-OES,GU10-7W COOLWHITE (4000K) -OES,,0,0,0,0,0,0
+L HAGU10/7W DL,GU 10-7W D/L - MEGAMAN (out of production),168,0,0,0,12,24,0
+L HAGU10/7W DL-O ES,GU 10-7W Daylight (6400K) - OES,,0,0,0,5.7,15,0
+L HAGU10/7W WW,GU 10-7W W/W - MEGAMAN (out of production),168,0,0,0,12,24,0
+L HAGU10/7W WW-OES,GU 10-7W Warmwhite (2700K) -OES,,0,0,0,5.7,15,0
+L HAGU10/9W DL,GU 10-9W D/L -MEGANMAN,168,-1,0,0,16,30,0
+L HAGU10/9W WW,GU 10-9W W/W -MEGANMAN,168,0,0,0,16,30,0
+L HAGU10/AR111/11 W/827,GU10/AR111 11W/827 WARMWHITE - SAFER,NME,1,2,0,0,0,0
+L HAGU10/AR111/18 W/DL OE,GU10/AR111 18W DAYLIGHT -OES,,0,0,0,3.6,12,0
+L HAGU10/AR111/18 W/WW OE,GU10/AR111 18W WARMWHITE - OES,,0,0,0,3.6,12,0
+L HAGU4/10 OSRAM,MR 11 12V-10W (44888) -OSRAM,EXPORT,0,0,0,0,0,0
+L HAGU4/10 SAFER,MR11 12V-10W - SAFER,NME,0,0,0,0,0,0
+L HAGU4/11,MR 11 12V-20W (44890) -OSRAM,EXPORT,0,0,0,0,8,0
+L HAGU4/20 240,MR 11 240V 20W - SAFER,NME,0,0,0,0,8,0
+L HAGU4/20 GE,MR11 12V-20W (25284) W/O GLASS - GE,WAH SENG,0,0,0,0,8,0
+L HAGU4/20 SAF,MR 11 12V-20W - SAFER,NME,0,0,0,1,5,0
+L HAGU4/20/25285 GE,MR 11 12V-20W (25285) W/GLASS - GE,,0,0,0,0,6,0
+L HAGU4/35,MR 11 12V-35W (44892) -OSRAM,EXPORT,0,0,0,0,8,0
+L HAGU4/35 240,MR 11 240V-35W - SAFER,NME,0,0,0,0,8,0
+L HAGU4/35 GE,MR11 12V-35W (25286) W/O GLASS- GE,WAH SENG,0,0,0,0,8,0
+L HAGU4/35 SAF,MR 11 12V-35W (44892) - SAFER,NME,0,0,0,0.9,5,0
+L HAGU4/35/25287 GE,MR 11 12V-35W (25287) W/GLASS - GE,,0,0,0,0,8,0
+L HAGU4/35SP,MR 11 12V-35W (44892) SPOT -OSRAM,EXPORT,0,0,0,0,8,0
"+L HAGU5,3 35 TITAN",MR16 12V-35W TITAN 24° (46865) - OSRAM,,0,0,0,0,10,0
"+L HAGU5,3.35 WFL",MR 16 12V-35W WFL (41865) W/O GLASS - OSRAM,EXPORT,0,1,0,0,5,0
"+L HAGU5,3/20",MR 16 12V-20W (41860 WFL) 36° FRONT GLASS - OSRAM,WAH SENG,-2,5,0,0,6,0
"+L HAGU5,3/20 PHILIP",MR 16 12V-20W FRONT GLASS (46860 WFL) 38° LONG LIFE -,EXPORT,0,1,0,0,10,0
"+L HAGU5,3/20/230 OES",MR 16 230V-20W (DIRECT) -OES,,0,0,0,0,0,0
"+L HAGU5,3/20/230-AU",MR 16 230V-20W (DIRECT) W/O GLASS - AUDOM,,50,8,0,0.54,3,1
"+L HAGU5,3/2024",MR 16 240V-20W (DIRECT) -SAFER (428620),NME,0,0,0,1.8,5,0
"+L HAGU5,3/20GE",MR 16 12V-20W SPOT(10 DEGREE)-GE,NME,0,0,0,1.6,6,0
"+L HAGU5,3/20IRC",MR 16 12V-20W FRONT GLASS (48860 WFL) 36° IRC ES -,EXPORT,0,2,0,0,15,0
"+L HAGU5,3/20SAF",MR 16 12V-20W SAFER,NME,0,0,0,0,0,0
"+L HAGU5,3/20SP",MR 16 12V-20W SPOT (4186SP / 44860 SP) 10° FRONT GLASS -,EXPORT,0,-2,0,2.5,6,0
"+L HAGU5,3/20WF",MR 16 12V-20W FRONT GLASS (45860 WFL) 36° LONG LIFE -,EXPORT,4,-4,0,1.6,10,0
"+L HAGU5,3/35",MR 16 12V-35W (45865) LONGLIFE - OSRAM,EXPORT,0,-1,0,0,6,0
"+L HAGU5,3/35 FG",MR16 12V-35W WFL FRONT GLASS,,0,0,0,0,3,0
"+L HAGU5,3/35/230 OES",MR 16 230V-35W (DIRECT) -OES,,0,0,0,0,0,0
"+L HAGU5,3/35/230-AU",MR 16 230V-35W (DIRECT) W/O GLASS - AUDOM,,68,10,0,0.54,3,1
"+L HAGU5,3/35FG",MR 16 12V-35W (44865) W/GLASS - OSRAM,WAH SENG,0,0,0,2,6,0
"+L HAGU5,3/35IR",MR 16 12V-35W IRC (48865) -OSRAM,EXPORT,0,0,0,6.5,15,0
"+L HAGU5,3/35SAF",MR 16 12V-35W - SAFER,NME,0,0,0,0,0,0
"+L HAGU5,3/35SP",MR 16 12V-35W SPOT 10° W/O GLASS (41865 SP) - OSRAM,EXPORT,0,1,0,2.2,6,0
"+L HAGU5,3/50",MR 16 12V-50W WFL W/O GLASS,,0,0,0,0,3,0
"+L HAGU5,3/50 D",MR 16 12V-50W DAYLIGHT - E-LUX,EUROLUX,0,0,0,0,4,0
"+L HAGU5,3/50 G",MR 16 12V-50W GREEN - ELUX,EUROLUX,0,10,0,0,5,0
"+L HAGU5,3/50 R",MR 16 12V-50W RED - ELUX,EUROLUX,0,0,0,0,5,0
"+L HAGU5,3/50 SYLV ANIA",MR16 12V-50 38° (21767) W/GLASS - SYLVANIA,,0,0,0,0,0,0
"+L HAGU5,3/50 W",MR 16 12V-50W WHITESTAR (5300K) - BLV,KEH,0,0,0,0,18,0
"+L HAGU5,3/50 Y",MR 16 12V-50W YELLOW - ELUX,EUROLUX,0,0,0,0,5,0
"+L HAGU5,3/50/230-AU",MR 16 230V-50W (DIRECT) W/O GLASS - AUDOM,,105,5,0,0.54,3,1
"+L HAGU5,3/50/4200K",MR 16 12V-50W COOLWHITE (4200K) - KOTAS,SSK,0,0,0,0,5,0
"+L HAGU5,3/50/45870",MR 16 12V-50W/45870(LONGLIFE)-OSRAM,EXPORT,0,0,0,1.45,0,0
"+L HAGU5,3/5010",MR 16 12V-50W SPOT 12° W/O GLASS (DA MEI),NME,0,0,0,1.2,3,0
"+L HAGU5,3/5024",MR 16 240V-50W (DIRECT),NME,0,-1,0,0,0,0
"+L HAGU5,3/50BL",MR 16 12V-50W BLUE - ELUX,EUROLUX,0,0,0,0,5,0
"+L HAGU5,3/50CW",MR 16 12V-50W COOLWHITE (4200)- SAFER,NME,0,0,0,0,5,0
"+L HAGU5,3/50FO",MR 16 12V-50W (44870) W/GLASS-OSRAM,EXPORT,-17,8,0,0.7,5,0
"+L HAGU5,3/50FP",926000850012 MR 16 12V-50W 36D FRONT GLASS - PHILIP,EXPORT,-4,0,0,0.9,4,0
"+L HAGU5,3/50IR",MR 16 12V-50 FRONT GLASS (48870 WFL) IRC ECO 36° -,EXPORT,2,0,0,6.5,15,0
"+L HAGU5,3/50RO",MR 16 12V-50W (41870 WFL) 38° W/O GLASS - OSRAM,NME,0,-1,0,0,8,0
"+L HAGU5,3/50SP",MR 16 12V-50W SPOT 10° W/O GLASS (41870 SP) - OSRAM,EXPORT,0,5,0,0,6,0
+L HAGU5.3/PLES11 W W-OES,PLES 11W WARMWHITE (2700K) GU5.3 - OES,,0,0,0,4.5,15,0
+L HAGU5.3/PLES11 W C,PLES 11W COOLWHITE (4000K) GU5.3 - AKIRA,NME,0,0,0,0,15,0
+L HAGU5.3/PLES11 W D,PLES 11W DAYLIGHT (6400K) GU5.3 - AKIRA,NME,0,0,0,0,15,0
+L HAGU5.3/PLES11 W D-OES,PLES 11W DAYLIGHT (6400K) GU5.3 - OES,,0,0,0,4.5,15,0
+L HAGU5.3/PLES11 W W,PLES 11W WARMWHITE (2700K) GU5.3 - AKIRA,NME,0,0,0,0,15,0
+L HAGY6.35/100W OSRAM,GY6.35-100W (64625) - OSRAM,EXPORT,20,0,0,0,12,0
+L HAGY6.35/20,GY 6.35-20W (64427) - OSRAM,EXPORT,-4,0,0,0,5,0
+L HAGY6.35/20/50020,OSRAM 50020 MINISTAR AXIAL REFLECTOR GY6.35 12V 20W,EXPORT,0,0,0,6.5,13,0
+L HAGY6.35/35,GY 6.35-35W (64432) - OSRAM,EXPORT,0,18,0,0,5,0
+L HAGY6.35/35 CH,GY 6.35-35W (60432) - OSRAM,,8,95,0,0,0,0
+L HAGY6.35/35D,GY6.35 35W-240V (DIRECT),NME,8,-1,0,0,0,0
+L HAGY6.35/35S,GY 6.35/35W - SAFER,NME,0,3,0,0,0,0
+L HAGY6.35/50,GY 6.35-50W (64440) - OSRAM,EXPORT,0,7,0,0,4,0
+L HAGY6.35/50 CH,GY 6.35-50W - OSRAM (60440),,-2,160,0,0,0,0
+L HAGY6.35/50D,GY 6.35-50W 220V - DIRECT,,61,-1,0,0,0,0
+L HAGY6.35/50S-OS,GY 6.35-50W (64440S) LONG LIFE - OSRAM,WAH SENG,-13,13,0,2.5,8,0
+L HAGY6.35/50W,GY 6.35-50W - OES,,60,0,0,0,0,0
+L HAGY6.35/90W,HAGY6.35 90W 12V OSRAM 64458S STARLITE,,0,3,0,4.6,12,0
+L HAR7189/1000,R7S 189MM-1000W - PHILIPS,,0,0,0,0,0,0
+L HAR7256/1500,R7S-256MM-1500W,,0,0,0,6,0,0
+L HAR7S119/100,R7S 119MM-100W,NME,0,2,0,3,7,0
+L HAR7S119/150,R7S 119MM-150W,NME,0,0,0,3.2,7,0
+L HAR7S119/200,R7S 119MM-200W,NME,0,-1,0,3.2,7,0
+L HAR7S119/300,R7S 119MM-300W,NME,-2,-3,0,3.2,7,0
+L HAR7S119/500,R7S 119MM-500W,NME,0,1,0,3.5,8,0
+L HAR7S79/100,R7S 79MM-100W,NME,0,8,0,3.2,7,0
+L HAR7S79/150,R7S 79MM-150W,NME,0,0,0,3.2,7,0
+L HAR7S79/200,R7S 79MM/200W,NME,0,13,0,3.2,7,0
+L HAR7S79/60,R7S 79MM-48W (Osram 64684ECO),WAH SENG,0,0,0,8.5,15,0
+L LED 0.35W/BL,0.35W BLUE LED (MR 11) - A3,,1,0,0,2.7,35,13.5
+L LED 0.35W/GR,0.35W GREEN LED (MR 11) - A3,,5,0,0,2.7,35,13.5
+L LED 0.35W/RED,0.35W RED LED (MR11) - A3,,5,0,0,2.1,28,10
+L LED 0.35W/WH MR11,0.35W WHITE LED (MR 11) - A3,,-8,-1,0,3,38,15
+L LED 0.35W/YE,0.35W YELLOW LED (MR 11) -A3,,0,3,0,2.1,28,10
+L LED 10W WW,LED MR16/10W W/W - XQ,EnnoTech,-1,0,0,0,0,0
+L LED 12V 1W WW DC,LED 12V 1W (31mm Die Cast) MR11 WARMWHITE-A48,,0,1,0,6.9,32,0
+L LED 12V 1WDL DC,LED 12V 1W (31mm Die cast) MR11 DAYLIGHT-A48,,0,2,0,6.9,32,0
+L LED 12V 1WDL DL,LED 12V 1W (45mm Dome Lens) MR 11 DAYLIGHT-A48,,9,1,0,7.5,35,0
+L LED 12V 1WWW DL,LED 12V 1W (45mm Dome Lens) MR 11 WARMWHITE-A48,,9,1,0,7.5,35,0
+L LED 12V 7B DL,LED 12V 7B (7 DIODES) MR 11 DAYLIGHT-A48,,19,1,0,0.84,5,0
+L LED 12V 7B WW,LED 12V 7B (7 DIODES) MR 11 WARMWHITE-A48,,19,1,0,0.84,5,0
+L LED 1x3W WW-A3,1*3W WARMWHITE SEOUL LED - A3,,19,0,0,0,0,0
+L LED 220V 1W DL,LED 220V 1W E27 DAYLIGHT-A48,,9,1,0,9,19,0
+L LED 220V 1W WW,LED 220V 1W E27 WARMWHITE-A48,,8,1,0,9,19,0
+L LED 220V 7B DL,LED 220V 7B (7 DIODES) MR 11 DAYLIGHT,,19,1,0,0.81,5,0
+L LED 220V 7B WW,LED 220V 7B (7 DIODES) MR 11 WARMWHITE,,19,1,0,1.11,5,0
+L LED 27W E27 DL,LED 27W E27 DL 6500K FROSTED (OSRAM),WAH SENG,0,0,0,0,0,0
+L LED 3W,LED 3W LAMP,,0,0,0,0,0,0
+L LED 3x1W MR16 DL,LED 3x1W MR 16 DAYLIGHT -A48,,0,0,0,0,28,0
+L LED 3x1W MR16 WW,LED 3x1W MR 16 WARMWHITE-A48,,2,2,0,9.6,28,0
+L LED 3x3W WW-A3,3*3W WARMWHITE SEOUL LED,,30,0,0,0,0,0
+L LED 4W/CW PHILI PS,LED 4W COOLWHITE (MR16 10DEGREE) PHILIPS,EXPORT,0,0,0,0,0,0
+L LED 4W/WW PHILI PS,LED 4W W/W (MR 16 10DEGREE) PHILIPS,EXPORT,0,0,0,0,0,0
+L LED 5W/BL,LED 5W BLUE - MR16,EUREKA,2,1,0,28,60,0
+L LED 5W/MCL,LED 5W MUTLI COLOURS (IRDA CNTRL) - MR 16,CAL,0,0,0,68,125,0
+L LED 5W/MULTI,LED 5W MUTLI COLOURS - MR 16,CATALINA,0,0,0,28,58,0
+L LED 5W/RED,LED 5W LED - MR 16,EUREKA,0,0,0,28,50,0
+L LED 5W/WARM,LED 5W WARMWHITE (MR 16),EUREKA,0,6,0,28,0,0
+L LED 5W/WH,LED 5W WHITE - MR16,EUREKA,0,3,0,28,45,0
+L LED 5W/YE,LED 5W YELLOW - MR 16,EUREKA,0,6,0,28,45,0
+L LED 6W CW 15°,LED 6W MR16 COOLWHITE 4000 4200K 15° BEAM ANGLE,EnnoTech,0,0,0,0,28.5,75
+L LED 6W D/L PLC,LED 6W (6000-6500K) D/L PLC (240V),EnnoTech,0,0,0,28.5,0,0
+L LED 6W W/W PLC,LED 6W (2800-3000K) W/W PLC (240V),EnnoTech,0,0,0,28.5,0,0
+L LED 720R SMD12 W DL,LED MODULE FLS720R SMD 12W 6500K,,0,-1,0,3.6,7,0
+L LED 720R SMD12 W WW,LED MODULE FLS720R SMD 12W 3000K,,1,0,0,3.6,9,0
+L LED 720R SMD18 W DL,LED MODULE FLS720R SMD 18W 6500K,,0,0,0,5.1,11,0
+L LED 720R SMD18 W WW,LED MODULE FLS720R SMD 18W 3000K,,-2,0,0,5.1,9,0
+L LED 720R SMD24 W DL,LED MODULE FLS720R SMD 24W 6500K,,0,0,0,5.4,11,0
+L LED 720R SMD24 W WW,LED MODULE FLS720R SMD 24W 3000K,,0,0,0,5.4,11,0
+L LED 720R SMD36 W DL,LED MODULE FLS720R SMD36W 6500K,,0,0,0,6.9,15,0
+L LED 720SC SMD18 +18 RGB,LED MODULE FLS720S-C SMD 18W+18W 3000-6500K,,0,0,0,5.7,13,0
+L LED 720SC SMD24 +24 RGB,LED MODULE FLS720S-C SMD 24W+24W 3000-6500K,,0,0,0,6.3,15,0
+L LED 731/12W DL,LED MODULE FLS731 12W 6000K,,0,0,0,3.6,7,0
+L LED 731/36W DL,LED MODULE FLS731 36W 6000K,,0,0,0,6.6,15,0
+L LED 731/36W WW,LED MODULE FLS731 36W 3000K,,0,0,0,6.6,0,0
+L LED 8W W/W PLC,LED 8W (2800-3200K) W/W PLC (240V),EnnoTech,10,-14,0,33.5,69,0
+L LED 8W W/W PLC (XQ),LED 8W W/W PLC 3000K (XQ TUB-LED-02),ZEN,2,0,0,25,60,0
+L LED E14 3W WW,LED E14 3W WARMWHITE (45MM),,0,0,0,0,0,0
+L LED E14 5W DL,LED E14 5W DAYLIGHT (54MM),,40,21,0,0,25,0
+L LED E14 5W WW,LED E14 MINI CAPSULE 5W WARMWHITE (54MM),,31,4,0,0,0,0
+L LED E40/43W/6000,"E40 LED LAMP, 43W, 6000K, 60°",LTBLIGHT,0,0,0,130,220,0
+L LED G4 1.5W WW,LED 1.5W 12V 2700K G4 CAPSULE LAMP,LTBLIGHT,-3,11,0,0,25,0
+L LED G4 2.5W WW PH,LED 2.5W 12V 2700K G4 CAPSULE LAMP - PHILIPS,EXPORT,0,0,0,33,60,0
+L LED G4 2W DL,LED 2W 12V DAYLIGHT G4 CAPSULE LAMP,,49,5,0,2.46,10,0
+L LED G4 2W WW,LED 2W 12V WARMWHITE G4 CAPSULE LAMP,,0,14,0,2.46,10,0
+L LED G4 3W WW,LED 3W 12V WARMWHITE G4 CAPSULE LAMP,S-CH-AUDOM,1,5,0,3.15,15,0
+L LED G4 5W WW,LED 5W 220V WARMWHITE G4 CAPSULE LAMP (45MM),,17,4,0,0,8,0
+L LED G4 5W12V WW,LED 5W 12V 2508COB WARMWHITE G4 CAPSULE,,71,15,0,0,9,0
+L LED G45 5W E27 TRICOL,G45 E27 5W LED 6000k+3000K OPAL (SY),,46,2,0,0,0,0
+L LED G45 5W WW,G45 E27 5W LED 3000K OPAL (SY),S-CH-SY,68,20,0,0,0,0
+L LED G45 E14 5W WW,G45 E14 5W LED 2700K OPAL (SY),,0,7,0,0,0,0
+L LED G9 2W WW,LED 2W 220-240V 2700K G9 GLASS (A99 GRL3359),,0,2,0,3.6,10,0
+L LED G9 2W WW PH,929002326302 PHILIPS COREPRO LED G9 CAPSULE,EXPORT,0,20,0,0,10,0
+L LED G9 3W CW,LED 3W 220-240V (53mA) COOLWHITE G9 LAMP,,18,1,0,0,10,0
+L LED G9 3W WW,LED 3W 220-240V (53mA) WARMWHITE G9 LAMP - MISU,S-CH-A39,0,-1,0,0,10,0
+L LED G9 5W 2508C OB WW,LED 5W 2508COB 220-240V WARMWHITE G9 LAMP,,-1,-3,0,0,0,0
+L LED G9 5W DL,LED5W 220-240V (53mA) DAYLIGHT G9 LAMP,,-12,-2,0,4.65,10,0
+L LED G9 5W TRICOL,LED 5W 220-240V 2835 52D (53mA) WW/CW/DL G9 LAMP,,-3,13,0,0,0,0
+L LED G9 5W WW,LED 5W 220-240V 2835 51D (53mA) WARMWHITE 3000K G9,,75,5,0,4.65,10,0
+L LED G9 5W WW DIM,LED 5W 220-240V 2835 52D 3000K G9 LAMP DIMMABLE,,3,-1,0,0,0,0
+L LED G9 5W WW FR,LED 5W 220-240V WARMWHITE G9 LAMP FROSTED (63MM) -,S-CH-A39,0,9,0,4.2,14.02,0
+L LED G9 7W WW,LED 7W 220-240V WARMWHITE G9 (CT-LED-G9-230V-7W-3K),LED LIGHT,0,0,0,0,0,0
+L LED G9 9W WW,LED 9W 220-240V 2835 88D (53mA) WARMWHITE G9 LAMP,,67,9,0,0,0,0
+L LED G95 12W 270 0K,LED G95 12W WW OPAL (E27),,19,1,0,0,0,0
+L LED G95 5W 2700K,LED G95 5W 2700K Silica (E27),,2,6,0,0,0,0
+L LED G95 7W WW DIM,LED G95 7W WW OPAL (E27),,24,2,0,0,0,0
+L LED GU10 3W D/L,LED 3W D/L - GU10,WAH SENG,0,0,0,0,0,0
+L LED GU10 3W W/W,LED 3W W/W - GU10,COMBGLOW,0,1,0,0,50,0
+L LED GU10 BK 5W WW DIM,LED GU10 5W 220-240V 2700K 40° BLACK DIMMABLE (A99,,0,4,0,4.2,10,0
+L LED GU10 BK 7W CW DIM,LED GU10 7W 220-240V 4000K 40° BLACK DIMMABLE (A99,,1,-2,0,0,10,0
+L LED GU10 BK 7W WW,LED GU10 7W 180-260V 2700K 40° BLACK (A99 GRL1262),,6,-9,0,3.9,10,0
+L LED GU10 BK 7W WW DIM,LED GU10 7W 220-240V 2700K 40° BLACK DIMMABLE (A99,,0,-2,0,4.8,10,0
+L LED GU10 WH 5W WW,LED GU10 5W 180-260V 2700K 40° WHITE (A99 GRL1261),,0,5,0,3,15,0
+L LED GU10 WH 7W WW DIM,LED GU10 7W 220-240V 2700K 40° WHITE DIMMABLE (A99,,0,1,0,5.7,20,0
+L LED GU10/5W/CW PH,929001349008 Philips Master LED 5-50W GU10 4000K 36° Dim,PHILIPS,20,12,0,0,9.246,0
+L LED GU10/5W/W W PH,929001348908 Philips Master LED 5-50W GU10 3000K 36° Dim,PHILIPS,0,29,0,0,10,0
+L LED GX53/12W DL,LED GX53 12W AC85-265V 6000K,,8,11,0,0,18,0
+L LED GX53/12W WW,LED GX53 12W AC85-265V 3000K,,29,1,0,0,18,0
+L LED GX53/9W DL,LED GX53 9W AC85-265V 6000K,,9,1,0,0,15,0
+L LED GX53/9W WW,LED GX53 9W AC85-265V 3000K,,0,6,0,0,15,0
+L LED LBD-E27-CAS -TW,LBD Casambi Dimmable E27 Led Bulb Tuneable White 2200-6000K,,1,0,0,0,0,0
+L LED MR16/5.5W/W W PH,929001146207 PHILIPS CONSUMER MR16 LED 5.5-50W,PHILIPS,2,0,0,0,8.32,0
+L LED PAR16/4W/14 0 CW VB,LED PAR16 4.2W 4000K 140° Dim Ø50x54mm GU10,PNE,11,0,0,0,25,0
+L LED PAR16/4W/14 0 DL VB,LED PAR16 4.2W 6000K 140° Dim Ø50x54mm GU10,PNE,11,0,0,0,25,0
+L LED PAR16/4W/14 0 WW VB,LED PAR16 4.2W 2700K 140° Dim Ø50x54mm GU10,PNE,8,9,0,0,25,0
+L LED PAR16/8W/35 °CW,LED Par16 8W GU10 35° Cool White Dimmerable Megaman,,0,0,0,0,0,0
+L LED PAR16/8W/35 °WW,LED Par16 8W GU10 35° Warm White Dimmerable Megaman,MEGAMAN,0,0,0,86,0,0
+L LED PAR20/6.5W/ 36 WW C,LED PAR 20 6.5W 3000K 36° E27 (POWDERED BY CREE),LTBLIGHT,0,0,0,0,98,0
+L LED PAR20/6W WW,LED PAR20 6W 2700K E27 (CELED),,0,11,0,0,15,0
+L LED PAR20/7W/20 WW GE,LED PAR20 7W 2700K 20° E27 GE (33870),,0,-2,0,0,0,0
+L LED PAR20/7W/40 WW FSL,LED PAR20 7W 3000K 40° E27 FSL,LED LIGHT,-2,-2,0,0,9,0
+L LED PAR20/8W/25 WW CRE,LED PAR 20/8W/3000K 25 DEGREE (POWDERED BY,LTBLIGHT,0,-1,0,39,90,0
+L LED PAR30 16W WW,E27 PAR30 16W 4200K,LTBLIGHT,-1,0,0,0,0,0
+L LED PAR30 7W CW,LED PAR30 7x1W COOLWHITE - A48,S-CH-A48,0,0,0,30,60,0
+L LED PAR30 7W DL,LED PAR30 7X1W DAYLIGHT -A48,S-CH-A48,0,1,0,30,60,0
+L LED PAR30 7W WW,LED PAR30 7x1W WARMWHITE - A48,S-CH-A48,0,4,0,30,60,0
+L LED PAR30/10W/2 800K,LED PAR30 10.5W 35 DEGREE 2800K (MEGAMAN LR3010.5-,MEGAMAN,0,0,0,0,25,0
+L LED PAR30/10W/4 000K,LED PAR30 10.5W 35 DEGREE 4000K (MEGAMAN LR3010.5-,MEGAMAN,0,0,0,0,0,0
+L LED PAR30/12W/2 0 WW GE,LED PAR30 12W 2700K 20° E27 GE (33883),WAH SENG,0,0,0,21,55,0
+L LED PAR30/13W/4 0 WW FS,LED PAR30A-L 13W 3000K 40° E27 FSL (IP65),,0,3,0,0,18,0
+L LED PAR30/15W/2 800K/24,LED PAR30 15W 2800K 24° E27 DIMMABLE (MEGAMAN,,0,0,0,0,0,0
+L LED PAR30/35W/3 000/15°,LED PAR30 E27 35W 3000K 15° (GALAXY SERIES),EnnoTech,0,0,0,143.5,320,0
+L LED PAR30/35W/4 000/15°,LED PAR30 E27 35W 4000K 15° (GALAXY SERIES),EnnoTech,0,0,0,143.5,320,0
+L LED PAR30/35W/4 5 WW,LED PAR30 35W 45° E27 (Galaxy Series),EnnoTech,0,0,0,0,330,0
+L LED PAR30/9W/27 00 PH,929001389608 Philips Essential LED 9-75W PAR30S 827 25D,PHILIPS,0,3,0,0,13.93,0
+L LED PAR30/9W/45 DL,LED PAR30 9W 45° E27 6000K (Galaxy Series),EnnoTech,0,0,0,45,0,0
+L LED PAR30/9W/90 CW VB,LED PAR30 8.5W 4000K 90° Dim Ø95x118mm E27 VIRIBRIGHT,PNE,0,2,0,0,32,0
+L LED PAR30/9W/90 DL VB,LED PAR30 9.5W 6000K 90° Dim Ø95x118mm E27 VIRIBRIGHT,PNE,0,5,0,0,32,0
+L LED PAR30/9W/90 WW VB,LED PAR30 9.5W 2700K 90° Dim Ø95x118mm E27 VIRIBRIGHT,PNE,0,0,0,0,32,0
+L LED PAR3011W/27 00 PHIL,LED PAR30 11W/2700K 25DEGREE - PHILIPS,EXPORT,0,0,0,0,0,0
+L LED PAR30S/12W/ 2700 PH,LED PAR30S 12W 2700K 25° PHILIPS,EXPORT,0,0,0,80,0,0
+L LED PAR38 12W DL,LED PAR 38 12x1W DAYLIGHT -A48,,0,8,0,36,75,0
+L LED PAR38 12W WW,LED PAR 38 12X1W WARMWHITE -A48,,1,3,0,36,75,0
+L LED PAR38/15W/9 0 CW VB,LED PAR38 15W 4000K 90° Dim Ø120x135mm E27 VIRIBRIGHT,PNE,8,0,0,0,38,0
+L LED PAR38/15W/9 0 DL VB,LED PAR38 15W 6000K 90° Dim Ø120x135mm E27 VIRIBRIGHT,PNE,21,2,0,0,38,0
+L LED PAR38/15W/9 0 WW VB,LED PAR38 15W 2700K 90° Dim Ø120x135mm E27 ViriBright,PNE,0,0,0,0,38,0
+L LED PAR38/18W WW,LED PAR38 E27 18W 3000K,,4,3,0,0,19,0
+L LED PAR38/18W/2 5 DL CR,LED PAR38 18W/6000K/25D (POWDERED BY CREE),LTBLIGHT,0,0,0,63,130,0
+L LED PAR38/18W/2 5 WW CR,LED PAR38 18W/3000K/25D (POWDERED BY CREE),LTBLIGHT,0,1,0,63,130,0
+L LED PAR38/18W/2 5 WW GE,LED PAR38 18W 2700K 25° E27 GE (33901),,0,2,0,0,0,0
+L LED PAR38/18W/4 0 WW CR,LED PAR38/18W/3000K/40° WW (POWDERED BY CREE),LTBLIGHT,0,0,0,58,130,0
+L LED PLC/8.5W CW PH,929001201308 Philips CorePro LED PLC 8.5W 840 2P G24D,EXPORT,0,0,0,0,18,0
+L LED PLC/9W CW PH,929001879308 PHILIPS LED PLC 9W 840 2P G24D 4000K,PHILIPS,0,0,0,0,7.312,0
+L LED PLC/9W WW PH,929001879208 PHILIPS LED PLC 9W 830 2P G24D 3000K,PHILIPS,10,2,0,0,7.312,0
+L LED R7S118/9W WW,LED R7S 118MM 220-240V 9W WW,,11,4,0,4.5,15,0
+L LED R7S78/6W WW,LED R7S 78MM 220-240V 6W WW,,9,3,0,3.3,12,0
+L LED T5 16W/865 PH,PHILIPS LED T5 16W/865 (6500K 1200MM),EXPORT,0,0,0,0,0,0
+L LED T523W//DL OSRAM,OSRAM LED T5 23W/865 (6500K 4'),EXPORT,20,0,0,0,0,0
+L LED T5A 18W/865 NVC,NVC T5A LED 18W/865,EXPORT,0,2,0,0,0,0
+L LED T815W DL,KINGON 3FT 15W T8 LED TUBE DL,COSTSAVERS,0,0,0,0,0,0
